Battery,Weight,NoOfCameras,Is5GSupport,IsDualSimSupport,ModelYear,Company,FrameRate,Price
2516,243,5,False,True,2019,Realme,60,1061.23
4962,151,3,False,False,2022,Samsung,120,1501.19
3146,173,3,False,False,2025,OnePlus,120,575.39
5164,224,1,True,True,2021,IPhone,90,585.56
4830,180,1,False,False,2025,Oppo,90,978.46
2790,222,2,True,True,2020,Vivo,90,1282.53
3607,138,5,True,True,2019,Samsung,90,1348.18
3819,240,4,False,False,2023,Vivo,120,297.43
5910,247,1,True,False,2018,Oppo,120,887.93
5893,157,5,True,False,2022,Samsung,60,1297.33
4580,155,2,False,False,2018,Vivo,60,848.91
2837,169,2,True,False,2025,Vivo,90,419.22
3329,181,2,False,True,2020,OnePlus,120,1026.65
2699,175,1,True,False,2018,IPhone,60,1130.94
3617,133,4,True,True,2023,Vivo,60,1274.64
5778,249,2,False,True,2022,Realme,60,235.18
3236,129,3,True,True,2025,Realme,60,133.73
5575,204,1,False,True,2024,Samsung,90,1600.05
5087,154,3,True,True,2020,Samsung,120,140.7
4521,223,3,False,True,2024,Vivo,120,718.14
2910,140,5,True,False,2019,OnePlus,120,1433.34
4939,166,3,False,True,2022,IPhone,60,735.38
4463,231,2,False,True,2020,Vivo,120,1057.86
3144,227,2,True,True,2025,Oppo,90,994.28
4403,156,3,False,False,2020,Oppo,90,121.15
3558,208,4,True,False,2024,Samsung,120,1319.48
3641,236,5,False,True,2024,Oppo,90,408.16
4323,151,5,True,False,2021,Vivo,90,632.75
2729,123,3,False,True,2022,IPhone,60,1161.04
4395,179,3,False,False,2021,Realme,90,246.03
4574,215,5,True,True,2020,OnePlus,60,928.62
4982,220,1,False,True,2018,Oppo,60,930.19
4754,151,2,True,False,2020,Realme,120,1373.24
5755,249,1,True,True,2018,IPhone,120,586.24
3400,211,2,True,True,2025,Vivo,120,1622.3
4697,249,4,True,True,2022,OnePlus,120,1702.55
4071,129,1,True,False,2021,Samsung,60,428.01
5394,151,2,True,False,2020,OnePlus,90,966.07
4955,234,3,False,True,2023,Realme,90,659.01
5040,236,1,True,False,2022,Oppo,120,896.6
4844,238,2,False,False,2025,OnePlus,60,1199.25
4377,125,3,False,True,2019,IPhone,120,1845.64
3806,152,1,True,False,2019,Oppo,90,293.61
4082,141,1,True,False,2022,Samsung,90,443.92
3160,240,2,True,False,2020,Vivo,90,149.36
2550,197,4,True,True,2021,OnePlus,90,1084.66
5890,128,4,True,False,2022,IPhone,90,1551.56
2854,247,3,False,False,2018,Samsung,90,547.51
5629,217,5,True,False,2020,Samsung,90,861.79
3030,176,3,True,False,2021,Samsung,90,1829.82
5855,146,2,True,False,2023,OnePlus,120,1795.31
2884,174,2,False,False,2025,Realme,90,1575.14
2672,206,4,False,True,2019,IPhone,120,946.91
4034,159,1,True,True,2022,Realme,120,1440.98
4089,178,5,False,False,2018,Realme,60,1800.37
3869,187,3,False,False,2021,Vivo,60,1615.18
4292,215,4,True,True,2025,Samsung,90,483.0
3488,218,4,False,True,2022,Realme,60,333.18
3381,223,3,True,False,2025,Oppo,90,178.22
3755,123,4,False,True,2024,Oppo,60,1699.74
3019,134,2,True,False,2024,Samsung,120,1276.57
5886,175,1,False,False,2020,Samsung,90,961.99
3337,243,1,True,True,2022,OnePlus,60,1382.74
4048,235,4,False,False,2022,Oppo,90,570.32
5330,225,3,False,True,2018,Realme,60,106.83
5165,134,1,True,False,2025,OnePlus,120,1378.98
3847,160,3,False,True,2018,Oppo,60,310.71
2920,158,1,False,True,2018,Samsung,90,1328.15
5021,132,2,False,False,2021,Vivo,60,594.27
3767,233,1,False,False,2025,OnePlus,90,699.61
3074,218,4,True,False,2019,Realme,90,295.74
2506,177,3,True,False,2021,OnePlus,60,1520.38
4657,124,5,False,True,2021,Oppo,60,1917.65
4566,180,3,True,False,2018,Realme,60,927.57
4892,234,1,False,False,2023,Vivo,60,113.1
2877,242,2,False,False,2023,Samsung,60,1692.66
2876,137,2,False,False,2024,OnePlus,90,1448.05
2865,246,2,False,True,2021,OnePlus,120,819.03
3706,145,5,True,False,2022,Vivo,60,1279.86
2616,129,1,False,False,2019,Vivo,120,470.27
5609,122,2,True,False,2024,OnePlus,60,1202.06
5855,149,1,False,False,2018,Vivo,60,1327.6
2796,163,3,True,True,2022,Realme,120,1886.57
4915,127,1,True,False,2022,Vivo,60,531.88
5610,131,5,True,False,2021,Vivo,120,1236.3
4829,184,2,True,False,2018,Realme,120,368.62
4672,181,3,False,True,2020,IPhone,90,1886.77
3005,151,1,True,True,2024,IPhone,120,146.57
3992,125,3,False,False,2023,Oppo,120,1690.24
5702,242,3,True,False,2021,Vivo,60,732.05
3750,199,1,True,True,2021,Oppo,120,1071.01
5028,180,1,False,False,2021,Samsung,90,1690.2
5806,240,4,True,False,2020,OnePlus,90,458.08
5783,202,2,False,True,2020,IPhone,90,516.53
3304,128,5,False,False,2019,Oppo,90,216.15
5686,189,3,False,True,2024,IPhone,90,194.99
2720,215,5,False,True,2022,Samsung,120,1578.59
4586,249,2,True,True,2022,IPhone,90,1782.36
4733,193,5,True,False,2021,Samsung,90,203.67
3643,198,2,False,False,2025,Oppo,120,1521.77
2569,178,4,False,False,2018,Realme,120,1851.57
3649,185,5,True,True,2018,IPhone,90,1979.55
